"","plot","year","integrated_ndvi","annual_mean","annual_median","winter_spring_mean","winter_spring_median","winter_spring_max","winter_spring_integrated","summer_mean","summer_median","summer_max","summer_integrated","n_winter_spring","n_summer","n_total"
"267","MM1",2011,152.428539403523,0.41761243672198,0.409466532744234,0.441058358925899,0.430084647908903,0.513231660974704,66.5998121978107,0.347249097259999,0.338892212719507,0.375450485515639,31.9469169479199,151,92,365
"268","MM1",2012,154.828178448555,0.42302780996873,0.393556380396219,0.433753725635531,0.396752288268917,0.547232058916965,65.9305662966006,0.379876764952579,0.380615410800353,0.388278566864934,34.9486623756372,152,92,366
"269","MM1",2013,155.297518791265,0.425472654222645,0.452178845137345,0.465526927102451,0.459995508572629,0.490439867090479,70.2945659924701,0.343484191780653,0.346188481039331,0.371907124128985,31.6005456438201,151,92,365
"270","MM1",2014,144.431018799751,0.395701421369182,0.381377056914869,0.421086587774726,0.401356444899457,0.485893976726831,63.5840747539836,0.32770567248658,0.326899112334752,0.354334573183575,30.1489218687654,151,92,365
"271","MM1",2015,146.694777292026,0.401903499430209,0.385321156256596,0.429266856253996,0.400858994995751,0.526561746419576,64.8192952943534,0.331167591216627,0.328271415409353,0.400846508201092,30.4674183919297,151,92,365
"272","MM1",2016,142.486993638005,0.389308725786898,0.383586121554826,0.429230838797812,0.399163808549399,0.505294422796322,65.2430874972674,0.327561296539433,0.327056789823979,0.371719331408788,30.1356392816278,152,92,366
"273","MM1",2017,137.36005810111,0.376328926304411,0.37716080567382,0.410878150451976,0.403336752237919,0.538894110951503,62.0426007182484,0.319416915282264,0.316940728356541,0.366455586510492,29.3863562059683,151,92,365
"274","MM1",2018,138.645062016008,0.379849484975365,0.3805474171129,0.388024448284366,0.397811651363613,0.438879716359983,58.5916916909393,0.346842167536852,0.347109647974754,0.380010400050221,31.9094794133904,151,92,365
"275","MM1",2019,134.957681884439,0.369747073655999,0.354444021343117,0.395204417884704,0.370429863529895,0.492050366615602,59.6758671005903,0.319519932773057,0.315255843446294,0.336532832173188,29.3958338151212,151,92,365
"276","MM1",2020,141.767283455807,0.387342304524064,0.381007192822781,0.391438882539315,0.39198692084295,0.42986901527054,59.4987101459759,0.323134781581692,0.331751646121415,0.351334734606671,29.7283999055157,152,92,366
"277","MM1",2021,148.195627684269,0.406015418313065,0.377218239364223,0.473026212047811,0.51889321011287,0.59164930853167,71.4269580192195,0.321372705726592,0.318971075842222,0.341611651104743,29.5662889268465,151,92,365
