"plot","ndvi","year","month","day"
"OM5",0.599286377429962,"1987","08","18"
"OM6",0.266827315092087,"1987","08","18"
"CM1",0.373055219650269,"1987","09","03"
"CM2",0.343549311161041,"1987","09","03"
"CM3",0.384011805057526,"1987","09","03"
"CM4",0.373055219650269,"1987","09","03"
"CM5",0.335964858531952,"1987","09","03"
"CM6",0.370394974946976,"1987","09","03"
"MM1",0.331474483013153,"1987","09","03"
"MM2",0.381126672029495,"1987","09","03"
"MM3",0.378968238830566,"1987","09","03"
"MM4",0.321289658546448,"1987","09","03"
"MM5",0.33356648683548,"1987","09","03"
"MM6",0.287110328674316,"1987","09","03"
"OM1",0.333098441362381,"1987","09","03"
"OM2",0.402858823537827,"1987","09","03"
"OM3",0.342878878116608,"1987","09","03"
"OM4",0.340840280056,"1987","09","03"
"OM5",0.637372493743896,"1987","09","03"
"OM6",0.30147060751915,"1987","09","03"
"CM1",0.427873700857162,"1987","11","22"
"CM2",0.404115974903107,"1987","11","22"
"CM3",0.436866879463196,"1987","11","22"
"CM4",0.410203516483307,"1987","11","22"
"CM5",0.417541891336441,"1987","11","22"
"CM6",0.454804658889771,"1987","11","22"
"MM1",0.385853469371796,"1987","11","22"
"MM2",0.431508988142014,"1987","11","22"
"MM3",0.458410114049911,"1987","11","22"
"MM4",0.420636475086212,"1987","11","22"
"MM5",0.334798514842987,"1987","11","22"
"MM6",0.29451584815979,"1987","11","22"
"OM1",0.396103531122208,"1987","11","22"
"OM2",0.469044983386993,"1987","11","22"
"OM3",0.391231209039688,"1987","11","22"
"OM4",0.41519969701767,"1987","11","22"
"OM5",0.597053587436676,"1987","11","22"
"OM6",0.380386263132095,"1987","11","22"
